"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type","cannonical","ubiquitous_index","specificity"
"1",2.7166477050027e-118,1.43468152266659,0.675,0.148,7.1518467481901e-114,"0","LOXL4","Alpha cells",1,0,0
"2",4.67310561399839e-153,1.26865317519921,0.945,0.316,1.23024178394122e-148,"0","CRYBA2","Alpha cells",1,0.009,0.0113888
"3",1.43251732522983e-87,1.21954961626436,0.739,0.276,3.77124511040005e-83,"0","AGT","Adipocytes",1,0.02,0.0160126
"4",5.2580639168032e-153,1.21477843013196,0.996,0.516,1.38423790673761e-148,"0","TM4SF4","Alpha cells",1,0.017,0.0132869
"5",9.89726171088493e-122,1.14389368188969,0.98,0.539,2.60555311800757e-117,"0","VGF","Interneurons",NA,0.021,0.0125313
"6",5.48370347743712e-131,1.12288883791316,1,0.922,1.4436397774701e-126,"0","TTR","Alpha cells",1,0.055,0.065802
"7",7.85951796034969e-87,1.11046112825655,0.641,0.173,2.06909669824166e-82,"0","AC092155.1","Adipocytes",1,0.02,0.0160126
"8",2.59967622607755e-150,1.08393886600887,0.993,0.543,6.84390763277176e-146,"0","TMEM176B","Alpha cells",1,0.017,0.0132869
"9",7.74259196126736e-141,1.06821171333686,0.976,0.503,2.03831475972325e-136,"0","TMEM176A","Alpha cells",1,0.009,0.00664347
"10",1.26855920459905e-143,1.05700429600283,0.904,0.248,3.33960896202747e-139,"0","GC","Alpha cells",1,0.009,0.00664347
"11",4.66723348286944e-115,1.0364650875286,1,0.976,1.22869588670021e-110,"0","GCG","Alpha cells",1,0.024,0.0439734
"12",4.57215993826872e-60,0.961803809087126,0.619,0.25,1.20366682534862e-55,"0","ZNF331","Alpha cells",1,0.057,0.0287884
"13",5.85651594743202e-85,0.928575399848874,0.782,0.344,1.54178638832095e-80,"0","PLCE1","Alpha cells",1,0.005,0.00822525
"14",9.24588463563538e-86,0.922100601040486,0.98,0.681,2.43407158917737e-81,"0","CFC1","Adipocytes",1,0.02,0.0160126
"15",7.17405031968576e-123,0.917916314347961,0.996,0.684,1.88864048716047e-118,"0","PCSK2","Alpha cells",1,0.032,0.0167668
"16",2.99996080414306e-129,0.916823734607571,0.804,0.187,7.89769681298701e-125,"0","IRX2","Alpha cells",1,0.012,0.00537805
"17",1.20316944883151e-133,0.910343516736729,0.998,0.818,3.16746389099382e-129,"0","CD99","Merkel cells",NA,0.007,0.00156642
"18",2.63771696006491e-105,0.906144499748489,0.802,0.275,6.94405366906688e-101,"0","SMIM24","Alpha cells",1,0.037,0.0281556
"19",2.41902910369353e-77,0.890394964000536,0.946,0.677,6.36833601838358e-73,"0","SERPINA1","Dendritic cells",1,0.016,0.0676519
"20",1.87109565297395e-110,0.876635499714004,0.943,0.486,4.92584641601923e-106,"0","SLC7A2","Alpha cells",1,0.024,0.0439734
